set_name,scenario_uid,phase,target,beta,n
BK21_deepseek,BK21_deepseek_02,Inputs,total_funding_allocated,0.0,5
BK21_deepseek,BK21_deepseek_02,Inputs,graduate_scholarship_slots,0.0,5
BK21_deepseek,BK21_deepseek_02,Inputs,postdoc_positions,0.0,5
BK21_deepseek,BK21_deepseek_02,Activities,consulting_sessions_held,0.0,5
BK21_deepseek,BK21_deepseek_02,Activities,compliance_checks_executed,0.0,5
BK21_deepseek,BK21_deepseek_02,Outputs,publications_produced,0.0,5
BK21_deepseek,BK21_deepseek_02,Outputs,international_conference_presentations,0.0,5
BK21_deepseek,BK21_deepseek_03,Inputs,graduate_scholarship_slots,0.0,5
BK21_deepseek,BK21_deepseek_03,Inputs,postdoc_positions,0.0,5
BK21_deepseek,BK21_deepseek_03,Outputs,graduate_students_supported,0.0,5
BK21_deepseek,BK21_deepseek_03,Outputs,publications_produced,0.0,5
BK21_deepseek,BK21_deepseek_03,Outputs,postdoc_researchers_supported,0.0,5
BK21_deepseek,BK21_deepseek_03,Outputs,international_conference_presentations,0.0,5
BK21_deepseek,BK21_deepseek_04,Outputs,publications_produced,0.0,5
BK21_deepseek,BK21_deepseek_04,Outputs,international_conference_presentations,0.0,5
BK21_deepseek,BK21_deepseek_04,Impact,national_st_talent_competitiveness_rank,0.0,5
BK21_deepseek,BK21_deepseek_04,Impact,high_impact_publications_per_1000_researchers,0.0,5
BK21_deepseek,BK21_deepseek_05,Outputs,publications_produced,0.0,5
BK21_deepseek,BK21_deepseek_05,Outputs,international_conference_presentations,0.0,5
BK21_deepseek,BK21_deepseek_05,Impact,national_st_talent_competitiveness_rank,0.0,5
BK21_deepseek,BK21_deepseek_05,Impact,high_impact_publications_per_1000_researchers,0.0,5
BK21_deepseek,BK21_deepseek_06,Outcomes,graduate_employment_rate_of_bk21_participants_in_2022,0.0,5
BK21_deepseek,BK21_deepseek_06,Impact,national_st_talent_competitiveness_rank,0.0,5
BK21_deepseek,BK21_deepseek_06,Impact,high_impact_publications_per_1000_researchers,0.0,5
BK21_deepseek,BK21_deepseek_08,Inputs,total_funding_allocated,0.0,5
BK21_deepseek,BK21_deepseek_08,Inputs,graduate_scholarship_slots,0.0,5
